@RELATION scientific

@ATTRIBUTE tokencount NUMERIC
@ATTRIBUTE nouncount NUMERIC
@ATTRIBUTE nounrate NUMERIC
@ATTRIBUTE adjectivecount NUMERIC
@ATTRIBUTE adjectiverate NUMERIC
@ATTRIBUTE adverbcount NUMERIC
@ATTRIBUTE adverbrate NUMERIC
@ATTRIBUTE verbcount NUMERIC
@ATTRIBUTE verbrate NUMERIC
@ATTRIBUTE numbercount NUMERIC
@ATTRIBUTE numberrate NUMERIC
@ATTRIBUTE symbolcount NUMERIC
@ATTRIBUTE symbolrate NUMERIC
@ATTRIBUTE foreignwordcount NUMERIC
@ATTRIBUTE foreignwordrate NUMERIC
@ATTRIBUTE sentencecount NUMERIC
@ATTRIBUTE paragraphcount NUMERIC
@ATTRIBUTE tokenpersentence NUMERIC
@ATTRIBUTE scientific {yes,no}

@DATA
544	,283	,52.02	,66	,12.13	,7	,1.29	,68	,12.50	,66	,12.13	,2	,.37	,2	,.37	,36	,0	,6.62	,yes
829	,435	,52.47	,90	,10.86	,1	,.12	,122	,14.72	,90	,10.86	,0	,.00	,0	,.00	,52	,0	,6.27	,yes
346	,176	,50.87	,34	,9.83	,3	,.87	,44	,12.72	,34	,9.83	,1	,.29	,1	,.29	,19	,0	,5.49	,yes
367	,175	,47.68	,49	,13.35	,3	,.82	,43	,11.72	,49	,13.35	,2	,.54	,2	,.54	,26	,0	,7.08	,yes
2469	,1174	,47.55	,249	,10.09	,45	,1.82	,342	,13.85	,249	,10.09	,6	,.24	,6	,.24	,170	,0	,6.89	,yes
6707	,2538	,37.84	,607	,9.05	,115	,1.71	,588	,8.77	,607	,9.05	,3	,.04	,3	,.04	,320	,0	,4.77	,yes
4003	,1780	,44.47	,408	,10.19	,89	,2.22	,469	,11.72	,408	,10.19	,5	,.12	,5	,.12	,245	,0	,6.12	,yes
9886	,4278	,43.27	,908	,9.18	,141	,1.43	,996	,10.07	,908	,9.18	,13	,.13	,13	,.13	,701	,0	,7.09	,yes
9630	,4654	,48.33	,888	,9.22	,146	,1.52	,1483	,15.40	,888	,9.22	,10	,.10	,10	,.10	,742	,0	,7.71	,yes
8281	,4010	,48.42	,944	,11.40	,148	,1.79	,1114	,13.45	,944	,11.40	,6	,.07	,6	,.07	,485	,0	,5.86	,yes
2002	,974	,48.65	,244	,12.19	,27	,1.35	,256	,12.79	,244	,12.19	,10	,.50	,10	,.50	,140	,0	,6.99	,yes
2458	,1317	,53.58	,229	,9.32	,39	,1.59	,330	,13.43	,229	,9.32	,0	,.00	,0	,.00	,144	,0	,5.86	,yes
3907	,1894	,48.48	,402	,10.29	,42	,1.07	,355	,9.09	,402	,10.29	,11	,.28	,11	,.28	,176	,0	,4.50	,yes
2099	,1019	,48.55	,229	,10.91	,36	,1.72	,291	,13.86	,229	,10.91	,0	,.00	,0	,.00	,101	,0	,4.81	,yes
1770	,785	,44.35	,205	,11.58	,42	,2.37	,231	,13.05	,205	,11.58	,1	,.06	,1	,.06	,83	,0	,4.69	,yes
7847	,3832	,48.83	,1009	,12.86	,206	,2.63	,937	,11.94	,1009	,12.86	,3	,.04	,3	,.04	,423	,0	,5.39	,yes
4911	,2372	,48.30	,492	,10.02	,100	,2.04	,494	,10.06	,492	,10.02	,20	,.41	,20	,.41	,235	,0	,4.79	,yes
8373	,3367	,40.21	,781	,9.33	,203	,2.42	,980	,11.70	,781	,9.33	,10	,.12	,10	,.12	,404	,0	,4.83	,yes
5871	,2755	,46.93	,679	,11.57	,114	,1.94	,664	,11.31	,679	,11.57	,17	,.29	,17	,.29	,374	,0	,6.37	,yes
6098	,2745	,45.01	,842	,13.81	,185	,3.03	,707	,11.59	,842	,13.81	,11	,.18	,11	,.18	,317	,0	,5.20	,yes
7083	,3211	,45.33	,911	,12.86	,118	,1.67	,824	,11.63	,911	,12.86	,17	,.24	,17	,.24	,478	,0	,6.75	,yes
6833	,3423	,50.10	,739	,10.82	,151	,2.21	,884	,12.94	,739	,10.82	,13	,.19	,13	,.19	,431	,0	,6.31	,yes
1141	,549	,48.12	,104	,9.11	,28	,2.45	,143	,12.53	,104	,9.11	,2	,.18	,2	,.18	,77	,0	,6.75	,yes
1192	,626	,52.52	,140	,11.74	,23	,1.93	,192	,16.11	,140	,11.74	,4	,.34	,4	,.34	,67	,0	,5.62	,yes
